,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
lam[3237],-0.346,1.012,-2.008,1.301,0.01,0.011,9627.0,5712.0,1.0
lam[3238],-0.302,1.012,-1.976,1.306,0.01,0.011,9638.0,5986.0,1.0
lam[3239],-0.218,1.009,-1.929,1.385,0.01,0.011,10046.0,6517.0,1.0
lam[3240],-0.246,1.002,-1.825,1.453,0.01,0.011,10754.0,6078.0,1.0
lam[3241],-0.315,0.985,-1.965,1.232,0.01,0.011,10661.0,6229.0,1.0
lam[3242],-0.345,0.978,-1.944,1.291,0.01,0.01,9985.0,5815.0,1.0
lam[3243],-0.347,0.997,-2.06,1.247,0.01,0.01,9858.0,5942.0,1.0
lam[3244],-0.348,1.021,-1.95,1.403,0.01,0.011,10315.0,6118.0,1.0
lam[3245],-0.356,1.031,-2.001,1.351,0.01,0.011,10517.0,5919.0,1.0
lam[3246],-0.355,1.013,-2.076,1.289,0.01,0.011,10166.0,6193.0,1.0
lam[3247],-0.356,0.999,-2.001,1.254,0.01,0.01,9908.0,6349.0,1.0
lam[3248],-0.358,0.999,-2.033,1.256,0.011,0.011,8715.0,6162.0,1.0
lam[3249],-0.354,1.002,-2.044,1.243,0.011,0.01,9108.0,6333.0,1.0
lam[3250],-0.343,0.99,-1.914,1.32,0.01,0.01,9673.0,6577.0,1.0
lam[3251],-0.289,0.994,-1.896,1.366,0.01,0.011,9794.0,6073.0,1.0
lam[3252],-0.103,0.981,-1.789,1.428,0.01,0.011,10079.0,6459.0,1.0
lam[3253],0.225,0.932,-1.33,1.72,0.009,0.01,10683.0,6413.0,1.0
lam[3254],0.499,0.87,-0.947,1.918,0.008,0.008,11401.0,6573.0,1.0
lam[3255],0.544,0.875,-0.846,2.001,0.008,0.008,11186.0,5989.0,1.0
lam[3256],0.55,0.887,-0.914,1.96,0.009,0.008,10540.0,6079.0,1.0
lam[3257],0.764,0.888,-0.665,2.288,0.009,0.008,9915.0,6053.0,1.0
lam[3258],1.158,0.868,-0.238,2.605,0.009,0.008,8549.0,5678.0,1.0
lam[3259],1.477,0.822,0.068,2.761,0.01,0.007,6994.0,6024.0,1.0
lam[3260],1.532,0.805,0.237,2.863,0.01,0.007,6986.0,5971.0,1.0
lam[3261],1.404,0.813,0.026,2.701,0.009,0.006,8575.0,6041.0,1.0
lam[3262],1.175,0.772,-0.11,2.448,0.007,0.006,11820.0,6279.0,1.0
lam[3263],0.771,0.817,-0.525,2.144,0.008,0.007,11737.0,5903.0,1.0
lam[3264],0.299,0.887,-1.189,1.717,0.008,0.009,12071.0,6304.0,1.0
lam[3265],-0.055,0.948,-1.618,1.491,0.009,0.011,11189.0,6153.0,1.0
lam[3266],-0.243,0.985,-1.844,1.383,0.01,0.011,10143.0,5820.0,1.0
lam[3267],-0.32,1.007,-2.049,1.292,0.01,0.011,10300.0,5952.0,1.0
lam[3268],-0.342,1.032,-2.022,1.335,0.01,0.011,9896.0,6385.0,1.0
lam[3269],-0.345,1.027,-2.038,1.331,0.011,0.011,9129.0,5937.0,1.0
lam[3270],-0.345,1.017,-2.003,1.296,0.011,0.011,8924.0,5429.0,1.0
lam[3271],-0.34,1.004,-1.903,1.369,0.011,0.011,9083.0,5147.0,1.0
lam[3272],-0.336,0.988,-1.974,1.269,0.01,0.01,9754.0,6088.0,1.0
lam[3273],-0.339,0.992,-2.026,1.235,0.01,0.011,10039.0,6043.0,1.0
lam[3274],-0.346,1.006,-1.927,1.354,0.01,0.011,9446.0,5982.0,1.0
lam[3275],-0.351,0.988,-1.958,1.284,0.011,0.01,8721.0,6197.0,1.0
lam[3276],-0.352,0.982,-1.99,1.218,0.01,0.01,9058.0,6333.0,1.0
lam[3277],-0.345,1.006,-2.019,1.262,0.01,0.011,9606.0,6050.0,1.0
lam[3278],-0.307,1.013,-1.902,1.405,0.01,0.012,9881.0,5880.0,1.0
lam[3279],-0.223,1.022,-1.955,1.379,0.01,0.012,10791.0,6200.0,1.0
lam[3280],-0.243,1.0,-1.85,1.393,0.01,0.011,10380.0,6252.0,1.0
lam[3281],-0.307,1.001,-1.868,1.41,0.01,0.011,9492.0,5879.0,1.0
lam[3282],-0.33,0.984,-1.908,1.321,0.01,0.011,8935.0,5792.0,1.0
lam[3283],-0.338,0.982,-1.98,1.257,0.01,0.011,9678.0,5620.0,1.0
lam[3284],-0.345,1.009,-2.036,1.293,0.01,0.011,9440.0,6123.0,1.0
lam[3285],-0.359,1.001,-2.068,1.23,0.01,0.011,9888.0,6000.0,1.0
lam[3286],-0.36,0.986,-1.984,1.244,0.01,0.01,9360.0,6164.0,1.0
lam[3287],-0.359,0.995,-1.974,1.303,0.01,0.011,9461.0,5840.0,1.0
lam[3288],-0.364,0.989,-2.01,1.241,0.011,0.01,8795.0,5936.0,1.0
lam[3289],-0.366,1.01,-2.039,1.264,0.01,0.01,9392.0,5589.0,1.0
lam[3290],-0.36,1.01,-1.933,1.346,0.01,0.01,9819.0,6326.0,1.0
lam[3291],-0.326,0.996,-2.011,1.27,0.01,0.011,9687.0,5427.0,1.0
lam[3292],-0.206,0.978,-1.805,1.393,0.01,0.011,10171.0,6463.0,1.0
lam[3293],-0.004,0.95,-1.522,1.61,0.009,0.011,10310.0,5982.0,1.0
lam[3294],0.172,0.91,-1.278,1.707,0.009,0.01,11035.0,5655.0,1.0
lam[3295],0.261,0.914,-1.24,1.762,0.009,0.01,11135.0,6277.0,1.0
lam[3296],0.441,0.911,-1.125,1.864,0.009,0.009,10304.0,6427.0,1.0
lam[3297],0.896,0.851,-0.507,2.257,0.009,0.007,9232.0,5727.0,1.0
lam[3298],1.512,0.744,0.273,2.705,0.007,0.006,9877.0,6205.0,1.0
