LOCATION_TYPE,ADMIN_LEVEL,GAUL_AD0,GAUL_AD1,GAUL_AD2,POINT_ID,UNIQUE_LOCATION,X,Y,YEAR,COUNTRY,REGION
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1978,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1978,Thailand,Asia
polygon,0,200,-999,-999,-999,3324,-66.463766,18.225313,1978,Puerto Rico,Americas
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1978,Malaysia,Asia
polygon,0,246,-999,-999,-999,3370,-61.256756,10.469105,1978,Trinidad and Tobago,Americas
polygon,2,63,2741,14784,-999,92505,-76.232365,20.330245,1978,Cuba,Americas
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1978,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1978,Thailand,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1978,Niue,Oceania
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1978,Malaysia,Asia
polygon,1,57,2391,-999,-999,16860,-74.903587,10.719872,1978,Colombia,Americas
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1978,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1978,Viet Nam,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1979,Viet Nam,Asia
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1979,Thailand,Asia
polygon,2,240,1761,26425,-999,104146,100.670111,13.708336,1979,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1979,Thailand,Asia
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1979,Malaysia,Asia
polygon,2,17,3270,5245,-999,82966,142.283636,-10.601234,1979,Australia,Oceania
polygon,1,1006344,3420,-999,-999,1014777,-102.655394,23.293966,1979,Mexico,Americas
polygon,2,63,2741,14784,-999,92505,-76.232365,20.330245,1979,Cuba,Americas
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1979,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1979,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1979,Thailand,Asia
polygon,2,53,72912,13045,-999,90766,113.358752,22.540269,1979,China,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1979,Niue,Oceania
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1979,Malaysia,Asia
polygon,1,1013696,1126,-999,-999,1016709,106.829966,-6.19261,1979,Indonesia,Asia
polygon,1,1011447,1217,-999,-999,1006163,106.694737,10.744253,1979,Viet Nam,Asia
polygon,2,1011447,1719,1003287,-999,1003287,105.827366,21.036487,1980,Viet Nam,Asia
polygon,2,259,1314,31439,-999,109160,-99.332038,27.760361,1980,United States of America,Americas
polygon,2,259,1314,31358,-999,109079,-100.311995,28.743157,1980,United States of America,Americas
polygon,2,259,1314,31307,-999,109028,-98.180781,26.393364,1980,United States of America,Americas
polygon,2,259,1314,31230,-999,108951,-97.526064,26.123183,1980,United States of America,Americas
polygon,2,259,1314,31212,-999,108933,-97.741166,28.417387,1980,United States of America,Americas
polygon,2,240,1761,26427,-999,104148,100.543448,13.752286,1980,Thailand,Asia
polygon,2,240,1761,26425,-999,104146,100.670111,13.708336,1980,Thailand,Asia
polygon,2,240,1761,26423,-999,104144,100.504418,13.748735,1980,Thailand,Asia
polygon,2,153,1306,37456,-999,115177,101.395178,3.041086,1980,Malaysia,Asia
polygon,1,1006344,3420,-999,-999,1014777,-102.655394,23.293966,1980,Mexico,Americas
polygon,0,87,-999,-999,-999,3211,-145.471768,-15.475612,1980,French Polynesia,Oceania
polygon,2,1013696,1791,1013522,-999,1013522,105.280708,-4.858707,1980,Indonesia,Asia
polygon,1,240,3070,-999,-999,29953,99.536162,16.328773,1980,Thailand,Asia
polygon,2,53,72912,13028,-999,90749,113.524613,23.377432,1980,China,Asia
polygon,1,240,68805,-999,-999,30325,101.426956,12.854308,1980,Thailand,Asia
polygon,1,240,3169,-999,-999,30371,100.71176,13.593797,1980,Thailand,Asia
polygon,0,183,-999,-999,-999,3307,-169.860169,-19.050005,1980,Niue,Oceania
polygon,1,153,2554,-999,-999,40788,100.401055,5.365574,1980,Malaysia,Asia
